Modal_Price,Price_Date
1230,10/18/2010
1320,10/19/2010
1260,10/20/2010
1335,10/21/2010
1325,10/22/2010
1375,10/23/2010
1425,10/25/2010
1385,10/26/2010
1365,10/27/2010
1340,10/28/2010
1360,10/29/2010
1365,10/31/2010
1395,11-01-2010
1360,11-03-2010
1360,11-07-2010
1365,11-09-2010
1380,11-10-2010
1200,11-11-2010
1250,11-12-2010
1380,11/14/2010
1325,11/15/2010
1340,11/16/2010
1250,11/17/2010
1300,11/18/2010
1350,11/19/2010
1355,11/20/2010
1355,11/21/2010
1400,11/22/2010
1400,11/25/2010
1300,11/28/2010
1360,11/30/2010
1200,12-02-2010
1400,12-05-2010
1350,12-06-2010
1360,12-08-2010
1375,12-09-2010
1370,12-10-2010
1380,12-12-2010
1547,12/13/2010
1380,12/19/2010
1350,12/25/2010
